Date,Close,Volume,Open,High,Low,PorportionalChange,PercentChange,cumChange5Days
09/15/2020,340.17,52920860,341.12,342.02,338.4683,1.00505229569225,0.505229569225318,0.0208877284595301
09/16/2020,338.82,82211260,341.51,343.06,338.52,0.996031396066672,-0.396860393332754,-0.00285470437623658
09/17/2020,335.84,91523340,333.56,337.6996,332.991,0.991204769494127,-0.879523050587339,0.00584024678786088
09/18/2020,330.65,105877900,335.37,335.49,327.97,0.984546212482134,-1.54537875178656,-0.0102077471113032
09/21/2020,326.97,99450830,325.7,327.13,321.73,0.988870406774535,-1.11295932254648,-0.0339478815812834
09/22/2020,330.3,63612110,328.57,330.9,325.86,1.01018442058904,1.01844205890449,-0.0290149043125548
09/23/2020,322.64,93112240,330.9,331.2,322.1,0.976808961550106,-2.31910384498941,-0.0477539696594108
09/24/2020,323.5,76681330,321.22,326.797,319.8,1.00266550954624,0.266550954624356,-0.0367436874702323
09/25/2020,328.73,71069430,322.58,329.58,321.64,1.01616692426584,1.61669242658424,-0.00580674429155759
09/28/2020,334.19,64584610,333.22,334.96,332.15,1.01660937547531,1.6609375475314,0.022081536532389
09/29/2020,332.37,51531590,333.97,334.77,331.6209,0.99455399622969,-0.544600377031024,0.00626702997274253
09/30/2020,334.89,104081100,333.09,338.29,332.88,1.00758191172488,0.758191172488476,0.0379680138854301
10/01/2020,337.04,88698750,337.69,338.74,335.01,1.00642001851354,0.64200185135419,0.0418547140649017
10/02/2020,333.84,89431110,331.7,337.0126,331.19,0.990505577972941,-0.949442202705919,0.0155446719191941
10/05/2020,339.76,45713110,336.06,339.96,336.01,1.01773304577043,1.7733045770429,0.0166671653849553
10/06/2020,334.93,90128880,339.91,342.17,334.38,0.985784082882034,-1.42159171179655,0.007702259530036
10/07/2020,340.76,56999600,338.12,341.63,338.09,1.01740662227928,1.74066222792821,0.0175281435695269
10/08/2020,343.78,45242480,342.85,343.85,341.86,1.00886254255194,0.886254255194263,0.0199976263944888
10/09/2020,346.85,59528610,345.56,347.35,344.89,1.00893012973413,0.893012973413243,0.038970764438047
10/12/2020,352.43,80388530,349.59,354.02,349.06,1.01608764595647,1.60876459564654,0.0372910289616171
10/13/2020,350.13,73255510,352.28,352.4651,349.09,0.993473881338138,-0.652611866186192,0.0453826172633056
10/14/2020,347.93,57958750,350.75,351.93,347.14,0.993716619541313,-0.62833804586867,0.0210412020190156
10/15/2020,347.5,60357660,343.71,348.02,343.13,0.998764119219383,-0.123588078061676,0.0108208738146507
10/16/2020,347.29,89501870,348.96,350.75,347.1,0.999395683453237,-0.0604316546762518,0.00126855989621255
10/19/2020,342.01,68425610,348.65,349.33,341.04,0.984796567709983,-1.52034322900171,-0.0295661549811318
10/20/2020,343.38,60051880,343.46,346.88,342.64,1.00400573082658,0.400573082658395,-0.0192785536800666
10/21/2020,342.73,63574980,343.33,348.6847,342.4,0.998107053410216,-0.189294658978389,-0.0149455350214169
10/22/2020,344.61,55399290,342.96,345.24,340.65,1.00548536749044,0.548536749044426,-0.00831654676259863
10/23/2020,345.78,49143930,345.93,345.99,343.13,1.00339514233481,0.339514233481308,-0.00434795127992182
10/26/2020,339.39,91473000,342.13,342.98,335.62,0.981520041644977,-1.84799583550234,-0.0076605947194639
10/27/2020,338.22,65994110,339.76,340.12,337.99,0.996552638557412,-0.344736144258806,-0.0150270836973684
10/28/2020,326.66,127094300,332.1,338.2483,326.13,0.965821063213293,-3.41789367867069,-0.0468882210486457
10/29/2020,329.98,90597690,326.91,333.395,325.09,1.01016347272393,1.0163472723933,-0.0424537883404486
10/30/2020,326.54,120448700,328.28,329.69,322.6,0.989575125765198,-1.04248742348021,-0.0556423159234219
11/02/2020,330.2,86068300,330.2,332.36,327.24,1.0112084277577,1.12084277577018,-0.0270779928695649
11/03/2020,336.03,93294190,333.69,338.25,330.2935,1.01765596608116,1.76559660811628,-0.00647507539472159
11/04/2020,343.54,126959700,340.86,347.94,339.59,1.02234919501235,2.23491950123502,0.0516745239698686
11/05/2020,350.24,82039750,349.24,352.19,348.86,1.01950282354311,1.95028235431098,0.0613976604642654
11/06/2020,350.16,74972970,349.93,351.51,347.65,0.999771585198721,-0.0228414801279109,0.0723341703925962
11/09/2020,354.56,172304200,363.97,364.38,354.06,1.01256568425862,1.25656842586246,0.0737734706238564
11/10/2020,354.04,85552020,353.49,355.18,350.51,0.998533393501805,-0.146660649819486,0.0535964050828748
11/11/2020,356.67,58649050,356.4,357.56,355.06,1.00742853914812,0.742853914811881,0.0382197124061208
